EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10070508,CUMING CO., ,07/01/1956,200,Tornado,0,F0,0,0,2500,0,NE,CST, , ,C,39, ,0,0, , ,.1,33,0, ,0, , ,07/01/1956,200,41.97,-96.92, , ,"","",1
10070510,PHELPS CO., ,07/01/1956,400,Tornado,0,F1,0,0,2500,0,NE,CST, , ,C,137, ,0,0, , ,.5,33,0, ,0, , ,07/01/1956,400,40.37,-99.48, , ,"","",2
10147934,DOOR CO., ,07/01/1956,1205,Tornado,0,F2,0,0,250000,0,WI,CST, , ,C,29, ,0,0, , ,10.6,50,0, ,0, , ,07/01/1956,1205,44.73,-87.38,44.85,-87.23,"","",3
10040593,ALCONA CO., ,07/01/1956,1350,Tornado,0,F1,0,0,2500,0,MI,CST, , ,C,1, ,0,0, , ,1,33,0, ,0, , ,07/01/1956,1350,44.80,-83.53, , ,"","",4
10040594,KENT CO., ,07/01/1956,1400,Tornado,0,F1,0,0,2500,0,MI,CST, , ,C,81, ,0,0, , ,0,33,0, ,0, , ,07/01/1956,1400,43.18,-85.67, , ,"","",5
10026591,SEDGWICK CO., ,07/01/1956,1725,Tornado,0,F2,0,0,25000,0,KS,CST, , ,C,173, ,0,0, , ,0,33,0, ,0, , ,07/01/1956,1725,37.82,-97.60, , ,"","",6
10026595,MARION CO., ,07/01/1956,1800,Tornado,0, ,0,0,0,0,KS,CST, , ,C,115, ,0,0, , ,8.5,33,0, ,0, , ,07/01/1956,1800,38.23,-97.00,38.30,-96.87,"","",7
10094894,DEWEY CO., ,07/01/1956,1830,Tornado,0,F1,0,1,0,0,OK,CST, , ,C,43, ,0,0, , ,0,33,0, ,0, , ,07/01/1956,1830,35.87,-99.35, , ,"","",8
10094895,ALFALFA CO., ,07/01/1956,1845,Tornado,0,F1,0,0,0,0,OK,CST, , ,C,3, ,0,0, , ,2,33,0, ,0, , ,07/01/1956,1845,36.90,-98.42, , ,"","",9
10075669,YATES CO., ,07/01/1956,2045,Tornado,0,F1,0,0,0,0,NY,CST, , ,C,123, ,0,0, , ,.5,600,0, ,0, , ,07/01/1956,2045,42.60,-77.10, , ,"","",10
