EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10095286,ADAIR CO., ,06/01/1968,1415,Tornado,0,F2,0,0,25000,0,OK,CST, , ,C,1, ,0,0, , ,3.6,200,0, ,0, , ,06/01/1968,1415,36.10,-94.60,36.13,-94.55,"","",1
9983256,BENTON CO., ,06/01/1968,1500,Tornado,0,F2,0,0,2500,0,AR,CST, , ,C,7, ,0,0, , ,6.5,500,0, ,0, , ,06/01/1968,1500,36.13,-94.55,36.18,-94.45,"","",2
9994148,TOOMBS CO., ,06/02/1968,1600,Tornado,0,F2,0,0,25000,0,GA,CST, , ,C,279, ,0,0, , ,.1,33,0, ,0, , ,06/02/1968,1600,32.22,-82.42, , ,"","",3
10134813,TARRANT CO., ,06/03/1968,1500,Tornado,0,F0,0,0,30,0,TX,CST, , ,C,439, ,0,0, , ,.1,17,0, ,0, , ,06/03/1968,1500,32.75,-97.42, , ,"","",4
9988720,BREVARD CO., ,06/04/1968,430,Tornado,0,F1,0,0,2500,0,FL,CST, , ,C,9, ,0,0, , ,.3,33,0, ,0, , ,06/04/1968,430,28.22,-80.67, , ,"","",5
9988721,BREVARD CO., ,06/04/1968,810,Tornado,0,F0,0,0,0,0,FL,CST, , ,C,9, ,0,0, , ,.1,17,0, ,0, , ,06/04/1968,810,28.40,-80.65, , ,"","",6
10134815,WILLACY CO., ,06/04/1968,1423,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,489, ,0,0, , ,.5,17,0, ,0, , ,06/04/1968,1423,26.48,-97.75, , ,"","",7
9988722,POLK CO., ,06/05/1968,710,Tornado,0,F1,0,0,250,0,FL,CST, , ,C,105, ,0,0, , ,0,33,0, ,0, , ,06/05/1968,710,28.10,-81.63, , ,"","",8
10161739,FREMONT CO., ,06/05/1968,1300,Tornado,0,F1,0,0,2500,0,WY,CST, , ,C,13, ,0,0, , ,0,50,0, ,0, , ,06/05/1968,1300,43.05,-108.40, , ,"","",9
10161740,GOSHEN CO., ,06/05/1968,1405,Tornado,0,F1,0,0,250,0,WY,CST, , ,C,15, ,0,0, , ,.1,17,0, ,0, , ,06/05/1968,1405,42.40,-104.20, , ,"","",10
10095287,GRADY CO., ,06/05/1968,1818,Tornado,0,F0,0,0,0,0,OK,CST, , ,C,51, ,0,0, , ,0,10,0, ,0, , ,06/05/1968,1818,35.05,-98.05, , ,"","",11
10161741,FREMONT CO., ,06/06/1968,1530,Tornado,0,F1,0,0,25000,0,WY,CST, , ,C,13, ,0,0, , ,3,50,0, ,0, , ,06/06/1968,1530,43.13,-108.40,43.13,-108.32,"","",12
10134820,OCHILTREE CO., ,06/06/1968,1615,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,357, ,0,0, , ,0,33,0, ,0, , ,06/06/1968,1615,36.42,-100.83, , ,"","",13
9988723,MIAMI-DADE CO., ,06/07/1968,1310,Tornado,0,F1,0,1,250000,0,FL,CST, , ,C,86, ,0,0, , ,0,33,0, ,0, , ,06/07/1968,1310,25.70,-80.30, , ,"","",14
10112815,CHARLESTON CO., ,06/07/1968,1325,Tornado,0, ,0,0,30,0,SC,CST, , ,C,19, ,0,0, , ,0,33,0, ,0, , ,06/07/1968,1325,32.80,-79.73, , ,"","",15
10087467,MECKLENBURG CO., ,06/07/1968,1430,Tornado,0,F2,0,0,25000,0,NC,CST, , ,C,119, ,0,0, , ,16.7,200,0, ,0, , ,06/07/1968,1430,35.00,-80.58,35.20,-80.75,"","",16
10161743,SHERIDAN CO., ,06/07/1968,1520,Tornado,0,F1,0,0,2500,0,WY,CST, , ,C,33, ,0,0, , ,.3,200,0, ,0, , ,06/07/1968,1520,44.70,-106.80, , ,"","",17
10040726,TUSCOLA CO., ,06/07/1968,1651,Tornado,0,F1,0,0,2500,0,MI,CST, , ,C,157, ,0,0, , ,.3,20,0, ,0, , ,06/07/1968,1651,43.60,-83.17, , ,"","",18
10134824,SHERMAN CO., ,06/07/1968,2125,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,421, ,0,0, , ,.5,33,0, ,0, , ,06/07/1968,2125,26.48,-101.70, , ,"","",19
10053421,STEARNS CO., ,06/07/1968,2148,Tornado,0,F0,0,0,0,0,MN,CST, , ,C,145, ,0,0, , ,.1,10,0, ,0, , ,06/07/1968,2148,45.62,-94.22, , ,"","",20
10095290,BEAVER CO., ,06/08/1968,1730,Tornado,0,F2,0,0,2500,0,OK,CST, , ,C,7, ,0,0, , ,.8,33,0, ,0, , ,06/08/1968,1730,36.83,-100.83, , ,"","",21
10134829,LYNN CO., ,06/08/1968,1815,Tornado,0,F1,0,0,25000,0,TX,CST, , ,C,305, ,0,0, , ,42.8,100,0, ,0, , ,06/08/1968,1815,33.17,-101.70,33.47,-101.05,"","",22
10053423,STEARNS CO., ,06/08/1968,1835,Tornado,0,F0,0,0,0,0,MN,CST, , ,C,145, ,0,0, , ,.1,10,0, ,0, , ,06/08/1968,1835,45.63,-94.32, , ,"","",23
10134834,LYNN CO., ,06/08/1968,2100,Tornado,0,F0,0,0,250,0,TX,CST, , ,C,305, ,0,0, , ,5.4,33,0, ,0, , ,06/08/1968,2100,33.23,-101.58,33.28,-101.52,"","",24
10135695,LYNN CO., ,06/08/1968,2100,Tornado,0,F1,0,0,0,0,TX,CST, , ,C,305, ,0,0, , ,26.7,33,0, ,0, , ,06/08/1968,2100,33.28,-101.80,33.50,-101.42,"","",25
10135698,ARMSTRONG CO., ,06/09/1968,830,Tornado,0,F0,0,0,0,0,TX,CST, , ,C,11, ,0,0, , ,1,17,0, ,0, , ,06/09/1968,830,34.95,-101.20, , ,"","",26
10135703,HEMPHILL CO., ,06/09/1968,1330,Tornado,0,F1,0,0,250,0,TX,CST, , ,C,211, ,0,0, , ,.1,100,0, ,0, , ,06/09/1968,1330,36.03,-100.27, , ,"","",27
10095291,ELLIS CO., ,06/09/1968,1530,Tornado,0,F0,0,0,0,0,OK,CST, , ,C,45, ,0,0, , ,0,33,0, ,0, , ,06/09/1968,1530,36.47,-99.90, , ,"","",28
10161746,CAMPBELL CO., ,06/09/1968,1530,Tornado,0, ,0,0,0,0,WY,CST, , ,C,5, ,0,0, , ,0,33,0, ,0, , ,06/09/1968,1530,44.70,-105.70, , ,"","",29
10110365,MARSHALL CO., ,06/09/1968,1600,Tornado,0,F2,0,1,250000,0,SD,CST, , ,C,91, ,0,0, , ,3.8,283,0, ,0, , ,06/09/1968,1600,45.83,-97.63,45.88,-97.57,"","",30
10095293,HARPER CO., ,06/09/1968,1620,Tornado,0,F1,0,0,0,0,OK,CST, , ,C,59, ,0,0, , ,0,33,0, ,0, , ,06/09/1968,1620,36.73,-99.77, , ,"","",31
10135707,HALE CO., ,06/09/1968,1700,Tornado,0,F1,0,0,250000,0,TX,CST, , ,C,189, ,0,0, , ,5.9,33,0, ,0, , ,06/09/1968,1700,34.30,-101.92,34.35,-101.83,"","",32
10095297,TEXAS CO., ,06/09/1968,1815,Tornado,0,F0,0,0,0,0,OK,CST, , ,C,139, ,0,0, , ,0,33,0, ,0, , ,06/09/1968,1815,36.58,-101.80, , ,"","",33
10053424,OTTER TAIL CO., ,06/09/1968,1838,Tornado,0,F1,0,0,25000,0,MN,CST, , ,C,111, ,0,0, , ,.3,20,0, ,0, , ,06/09/1968,1838,46.30,-96.15, , ,"","",34
10068954,MERRICK CO., ,06/09/1968,1915,Tornado,0, ,0,0,0,0,NE,CST, , ,C,121, ,0,0, , ,0,33,0, ,0, , ,06/09/1968,1915,41.22,-98.25, , ,"","",35
10095299,ROGER MILLS CO., ,06/09/1968,2000,Tornado,0,F2,0,2,25000,0,OK,CST, , ,C,129, ,0,0, , ,0,33,0, ,0, , ,06/09/1968,2000,35.83,-99.80, , ,"","",36
10053432,KANABEC CO., ,06/10/1968,1530,Tornado,0,F1,1,2,25000,0,MN,CST, , ,C,65, ,0,0, , ,.3,20,0, ,0, , ,06/10/1968,1530,45.73,-93.32, , ,"","",37
10021034,GREENWOOD CO., ,06/10/1968,1845,Tornado,0,F2,0,3,250000,0,KS,CST, , ,C,73, ,0,0, , ,1.5,50,0, ,0, , ,06/10/1968,1845,38.10,-96.10, , ,"","",38
10015372,WOODBURY CO., ,06/10/1968,1925,Tornado,0,F0,0,0,25000,0,IA,CST, , ,C,193, ,0,0, , ,.1,200,0, ,0, , ,06/10/1968,1925,42.48,-96.33, , ,"","",39
10006564,CLINTON CO., ,06/11/1968,1322,Tornado,0,F2,0,5,250000,0,IN,CST, , ,C,23, ,0,0, , ,0,33,0, ,0, , ,06/11/1968,1322,40.32,-86.53, , ,"","",40
10048607,HARRISON CO., ,06/11/1968,1330,Tornado,0,F1,0,0,0,0,MS,CST, , ,C,47, ,0,0, , ,0,33,0, ,0, , ,06/11/1968,1330,30.38,-89.27, , ,"","",41
10040731,GRATIOT CO., ,06/11/1968,1405,Tornado,0,F2,1,0,25000,0,MI,CST, , ,C,57, ,0,0, , ,0,50,0, ,0, , ,06/11/1968,1405,43.17,-84.57,43.17,-84.52,"","",42
10040733,GENESEE CO., ,06/11/1968,1500,Tornado,0,F0,0,0,0,0,MI,CST, , ,C,49, ,0,0, , ,0,33,0, ,0, , ,06/11/1968,1500,42.93,-83.80, , ,"","",43
10161747,SHERIDAN CO., ,06/11/1968,1530,Tornado,0, ,0,0,2500,0,WY,CST, , ,C,33, ,0,0, , ,.3,200,0, ,0, , ,06/11/1968,1530,44.75,-106.95, , ,"","",44
10059968,COOPER CO., ,06/11/1968,1700,Tornado,0,F0,0,0,30,0,MO,CST, , ,C,53, ,0,0, , ,.5,27,0, ,0, , ,06/11/1968,1700,38.83,-92.83, , ,"","",45
10103774,WALLOWA CO., ,06/11/1968,1800,Tornado,0,F2,0,0,25000000,0,OR,CST, , ,C,63, ,0,0, , ,9.6,880,0, ,0, , ,06/11/1968,1800,45.83,-117.33,45.90,-117.15,"","",46
9994150,OCONEE CO., ,06/11/1968,1900,Tornado,0,F1,0,0,2500,0,GA,CST, , ,C,219, ,0,0, , ,.4,30,0, ,0, , ,06/11/1968,1900,33.80,-83.53, , ,"","",47
10059969,BATES CO., ,06/11/1968,2355,Tornado,0,F0,0,0,30,0,MO,CST, , ,C,13, ,0,0, , ,.1,100,0, ,0, , ,06/11/1968,2355,38.27,-94.08, , ,"","",48
10145447,WOOD CO., ,06/12/1968,115,Tornado,0,F0,0,0,30,0,WV,CST, , ,C,107, ,0,0, , ,0,33,0, ,0, , ,06/12/1968,115,39.30,-81.60, , ,"","",49
9988729,GADSDEN CO., ,06/12/1968,1430,Tornado,0,F1,0,0,250000,0,FL,CST, , ,C,39, ,0,0, , ,4.1,17,0, ,0, , ,06/12/1968,1430,30.63,-84.43,30.67,-84.38,"","",50
10048613,HARRISON CO., ,06/12/1968,1620,Tornado,0, ,0,0,0,0,MS,CST, , ,C,47, ,0,0, , ,0,33,0, ,0, , ,06/12/1968,1620,30.38,-89.27, , ,"","",51
10071240,BIG HORN CO., ,06/13/1968,1500,Tornado,0,F0,0,0,250,0,MT,CST, , ,C,3, ,0,0, , ,0,33,0, ,0, , ,06/13/1968,1500,45.30,-107.00, , ,"","",52
10052509,SWIFT CO., ,06/13/1968,1656,Tornado,0,F0,0,0,0,0,MN,CST, , ,C,151, ,0,0, , ,.1,10,0, ,0, , ,06/13/1968,1656,45.23,-95.50, , ,"","",53
10052725,CHIPPEWA CO., ,06/13/1968,1703,Tornado,0,F0,0,0,2500,0,MN,CST, , ,C,23, ,0,0, , ,.1,10,0, ,0, , ,06/13/1968,1703,45.05,-95.65, , ,"","",54
10110370,CLAY CO., ,06/13/1968,1720,Tornado,0, ,0,0,0,0,SD,CST, , ,C,27, ,0,0, , ,0,33,0, ,0, , ,06/13/1968,1720,42.70,-96.90, , ,"","",55
10052726,CARVER CO., ,06/13/1968,1750,Tornado,0,F0,0,0,2500,0,MN,CST, , ,C,19, ,0,0, , ,.1,10,0, ,0, , ,06/13/1968,1750,44.72,-93.67, , ,"","",56
