EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
9976095,MARSHALL CO., ,05/02/1974,1330,Tornado,0,F2,0,0,25000,0,AL,CST, , ,C,95, ,0,0, , ,2,400,0, ,0, , ,05/02/1974,1330,34.15,-86.22, , ,"","",1
10017202,MONROE CO., ,05/02/1974,1844,Tornado,0,F1,0,0,0,0,IN,CST, , ,C,105, ,0,0, , ,.3,50,0, ,0, , ,05/02/1974,1844,39.18,-86.52, , ,"","",2
10133414,LAMAR CO., ,05/03/1974,1800,Tornado,0,F2,0,0,25000,0,TX,CST, , ,C,277, ,0,0, , ,0,33,0, ,0, , ,05/03/1974,1800,33.67,-95.38, , ,"","",3
10001625,SUWANNEE CO., ,05/04/1974,1438,Tornado,0,F1,0,0,2500000,0,FL,CST, , ,C,121, ,0,0, , ,2,20,0, ,0, , ,05/04/1974,1438,30.38,-82.98, , ,"","",4
10133635,BAILEY CO., ,05/04/1974,1515,Tornado,0,F1,0,0,0,0,TX,CST, , ,C,17, ,0,0, , ,3,30,0, ,0, , ,05/04/1974,1515,33.97,-103.05,34.00,-103.02,"","",5
10081841,ROOSEVELT CO., ,05/04/1974,1523,Tornado,0,F0,0,0,0,0,NM,CST, , ,C,41, ,0,0, , ,0,33,0, ,0, , ,05/04/1974,1523,34.20,-103.32, , ,"","",6
9980062,MILLER CO., ,05/04/1974,1845,Tornado,0,F2,0,0,25000,0,AR,CST, , ,C,91, ,0,0, , ,.3,300,0, ,0, , ,05/04/1974,1845,33.33,-93.77, , ,"","",7
10133643,MARTIN CO., ,05/04/1974,1910,Tornado,0,F1,0,1,0,0,TX,CST, , ,C,317, ,0,0, , ,3.8,30,0, ,0, , ,05/04/1974,1910,32.30,-101.97,32.30,-101.92,"","",8
10133650,TOM GREEN CO., ,05/04/1974,2120,Tornado,0,F1,0,0,30,0,TX,CST, , ,C,451, ,0,0, , ,.5,10,0, ,0, , ,05/04/1974,2120,31.60,-100.73, , ,"","",9
10001627,POLK CO., ,05/06/1974,750,Tornado,0,F1,0,0,2500,0,FL,CST, , ,C,105, ,0,0, , ,2,20,0, ,0, , ,05/06/1974,750,28.02,-81.90, , ,"","",10
10084652,MCLEAN CO., ,05/08/1974,1820,Tornado,0,F0,0,0,250000,0,ND,CST, , ,C,55, ,0,0, , ,0,33,0, ,0, , ,05/08/1974,1820,47.83,-101.08, , ,"","",11
10084653,WELLS CO., ,05/08/1974,2100,Tornado,0,F0,0,0,0,0,ND,CST, , ,C,103, ,0,0, , ,0,33,0, ,0, , ,05/08/1974,2100,47.50,-99.62, , ,"","",12
10093226,MAYES CO., ,05/09/1974,1530,Tornado,0,F1,0,0,2500,0,OK,CST, , ,C,97, ,0,0, , ,.5,150,0, ,0, , ,05/09/1974,1530,36.30,-95.28, , ,"","",13
10133662,SCURRY CO., ,05/09/1974,1600,Tornado,0,F1,0,0,0,0,TX,CST, , ,C,415, ,0,0, , ,1,20,0, ,0, , ,05/09/1974,1600,32.50,-101.17, , ,"","",14
9981148,BENTON CO., ,05/09/1974,1618,Tornado,0,F1,0,0,25000,0,AR,CST, , ,C,7, ,0,0, , ,.3,100,0, ,0, , ,05/09/1974,1618,36.37,-94.23, , ,"","",15
